name,sequence_name,location,gisaid_id,sample_date,market_connection,week
Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24,Wuhan/IPBCAMS-WH-01/2019,Wuhan,EPI_ISL_402123,2019-12-24,Huanan_vendor,0
Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26,Wuhan/WH01/2019,Wuhan,EPI_ISL_406798,2019-12-26,Huanan_purchaser,0
Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|2019-12-30,Wuhan/HBCDC-HB-01/2019,Wuhan,EPI_ISL_402132,2019-12-30,,0
Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|2019-12-30,Wuhan/HBCDC-HB-02/2019,Wuhan,EPI_ISL_412898,2019-12-30,Huanan_vendor,0
Wuhan/IME-WH01/2019|EPI_ISL_529213|2019-12-30,Wuhan/IME-WH01/2019,Wuhan,EPI_ISL_529213,2019-12-30,Other_purchaser,0
Wuhan/IME-WH04/2019|EPI_ISL_529216|2019-12-30,Wuhan/IME-WH04/2019,Wuhan,EPI_ISL_529216,2019-12-30,Huanan_vendor,0
Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|2019-12-30,Wuhan/IPBCAMS-WH-02/2019,Wuhan,EPI_ISL_403931,2019-12-30,Huanan_vendor,0
Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|2019-12-30,Wuhan/IPBCAMS-WH-03/2019,Wuhan,EPI_ISL_403930,2019-12-30,none,0
Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|2019-12-30,Wuhan/IPBCAMS-WH-04/2019,Wuhan,EPI_ISL_403929,2019-12-30,none,0
Wuhan/WIV05/2019|EPI_ISL_402128|2019-12-30,Wuhan/WIV05/2019,Wuhan,EPI_ISL_402128,2019-12-30,,0
Wuhan/WIV06/2019|EPI_ISL_402129|2019-12-30,Wuhan/WIV06/2019,Wuhan,EPI_ISL_402129,2019-12-30,Huanan_vendor,0
Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31,Wuhan/Hu-1/2019,Wuhan,EPI_ISL_402125,2019-12-31,Huanan_vendor,0
Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|2020-01-01,Wuhan/IPBCAMS-WH-05/2020,Wuhan,EPI_ISL_403928,2020-01-01,Huanan_purchaser,1
Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|2020-01-01,Wuhan/IVDC-HB-04/2020,Wuhan,EPI_ISL_402120,2020-01-01,,1
Wuhan/WHU01/2020|EPI_ISL_406716|2020-01-02,Wuhan/WHU01/2020,Wuhan,EPI_ISL_406716,2020-01-02,Huanan_vendor,1
Wuhan/WHU02/2020|EPI_ISL_406717|2020-01-02,Wuhan/WHU02/2020,Wuhan,EPI_ISL_406717,2020-01-02,Huanan_contact,1
Wuhan/WH04/2020|EPI_ISL_406801|2020-01-05,Wuhan/WH04/2020,Wuhan,EPI_ISL_406801,2020-01-05,,1
Wuhan/OS52/2020|EPI_ISL_450500|2020-01-10,Wuhan/OS52/2020,Wuhan,EPI_ISL_450500,2020-01-10,,2
Wuhan/HBCDC-HB-02/2020|EPI_ISL_412978|2020-01-17,Wuhan/HBCDC-HB-02/2020,Wuhan,EPI_ISL_412978,2020-01-17,,3
Wuhan/HBCDC-HB-03/2020|EPI_ISL_412979|2020-01-18,Wuhan/HBCDC-HB-03/2020,Wuhan,EPI_ISL_412979,2020-01-18,,3
Wuhan/HBCDC-HB-04/2020|EPI_ISL_412980|2020-01-18,Wuhan/HBCDC-HB-04/2020,Wuhan,EPI_ISL_412980,2020-01-18,,3
Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981|2020-01-18,Wuhan/HBCDC-HB-05/2020,Wuhan,EPI_ISL_412981,2020-01-18,,3
Wuhan/WHUH001/2020|EPI_ISL_449476|2020-01-22,Wuhan/WHUH001/2020,Wuhan,EPI_ISL_449476,2020-01-22,,4
Wuhan/WHUH002/2020|EPI_ISL_449477|2020-01-22,Wuhan/WHUH002/2020,Wuhan,EPI_ISL_449477,2020-01-22,,4
Wuhan/WHUH003/2020|EPI_ISL_449478|2020-01-22,Wuhan/WHUH003/2020,Wuhan,EPI_ISL_449478,2020-01-22,,4
Wuhan/WHUH004/2020|EPI_ISL_449479|2020-01-22,Wuhan/WHUH004/2020,Wuhan,EPI_ISL_449479,2020-01-22,,4
Wuhan/WHUH005/2020|EPI_ISL_449480|2020-01-22,Wuhan/WHUH005/2020,Wuhan,EPI_ISL_449480,2020-01-22,,4
Wuhan/WHUH006/2020|EPI_ISL_449481|2020-01-22,Wuhan/WHUH006/2020,Wuhan,EPI_ISL_449481,2020-01-22,,4
Wuhan/WHUH007/2020|EPI_ISL_449482|2020-01-22,Wuhan/WHUH007/2020,Wuhan,EPI_ISL_449482,2020-01-22,,4
Wuhan/WHUH008/2020|EPI_ISL_449483|2020-01-22,Wuhan/WHUH008/2020,Wuhan,EPI_ISL_449483,2020-01-22,,4
Wuhan/WHUH011/2020|EPI_ISL_449484|2020-01-22,Wuhan/WHUH011/2020,Wuhan,EPI_ISL_449484,2020-01-22,,4
Wuhan/WHUH012/2020|EPI_ISL_449485|2020-01-22,Wuhan/WHUH012/2020,Wuhan,EPI_ISL_449485,2020-01-22,,4
Wuhan/WHUH020/2020|EPI_ISL_449486|2020-01-22,Wuhan/WHUH020/2020,Wuhan,EPI_ISL_449486,2020-01-22,,4
Wuhan/WHUH021/2020|EPI_ISL_449487|2020-01-22,Wuhan/WHUH021/2020,Wuhan,EPI_ISL_449487,2020-01-22,,4
Wuhan/0125-A137/2020|EPI_ISL_493149|2020-01-25,Wuhan/0125-A137/2020,Wuhan,EPI_ISL_493149,2020-01-25,,4
Wuhan/0125-A142/2020|EPI_ISL_493150|2020-01-25,Wuhan/0125-A142/2020,Wuhan,EPI_ISL_493150,2020-01-25,,4
Wuhan/0125-A145/2020|EPI_ISL_493151|2020-01-25,Wuhan/0125-A145/2020,Wuhan,EPI_ISL_493151,2020-01-25,,4
Wuhan/0125-A148/2020|EPI_ISL_493152|2020-01-25,Wuhan/0125-A148/2020,Wuhan,EPI_ISL_493152,2020-01-25,,4
Wuhan/0125-A152/2020|EPI_ISL_493153|2020-01-25,Wuhan/0125-A152/2020,Wuhan,EPI_ISL_493153,2020-01-25,,4
Wuhan/0125-A153/2020|EPI_ISL_493154|2020-01-25,Wuhan/0125-A153/2020,Wuhan,EPI_ISL_493154,2020-01-25,,4
Wuhan/0125-A160/2020|EPI_ISL_493155|2020-01-25,Wuhan/0125-A160/2020,Wuhan,EPI_ISL_493155,2020-01-25,,4
Wuhan/0125-A163/2020|EPI_ISL_493156|2020-01-25,Wuhan/0125-A163/2020,Wuhan,EPI_ISL_493156,2020-01-25,,4
Wuhan/0125-A164/2020|EPI_ISL_493157|2020-01-25,Wuhan/0125-A164/2020,Wuhan,EPI_ISL_493157,2020-01-25,,4
Wuhan/0125-A167/2020|EPI_ISL_493158|2020-01-25,Wuhan/0125-A167/2020,Wuhan,EPI_ISL_493158,2020-01-25,,4
Wuhan/0125-A168/2020|EPI_ISL_493159|2020-01-25,Wuhan/0125-A168/2020,Wuhan,EPI_ISL_493159,2020-01-25,,4
Wuhan/0125-A169/2020|EPI_ISL_493160|2020-01-25,Wuhan/0125-A169/2020,Wuhan,EPI_ISL_493160,2020-01-25,,4
Wuhan/0125-A170/2020|EPI_ISL_493161|2020-01-25,Wuhan/0125-A170/2020,Wuhan,EPI_ISL_493161,2020-01-25,,4
Wuhan/0125-A171/2020|EPI_ISL_493162|2020-01-25,Wuhan/0125-A171/2020,Wuhan,EPI_ISL_493162,2020-01-25,,4
Wuhan/0125-A174/2020|EPI_ISL_493163|2020-01-25,Wuhan/0125-A174/2020,Wuhan,EPI_ISL_493163,2020-01-25,,4
Wuhan/0125-A182/2020|EPI_ISL_493164|2020-01-25,Wuhan/0125-A182/2020,Wuhan,EPI_ISL_493164,2020-01-25,,4
Wuhan/0125-A191/2020|EPI_ISL_493165|2020-01-25,Wuhan/0125-A191/2020,Wuhan,EPI_ISL_493165,2020-01-25,,4
Wuhan/0125-A192/2020|EPI_ISL_493166|2020-01-25,Wuhan/0125-A192/2020,Wuhan,EPI_ISL_493166,2020-01-25,,4
Wuhan/AP8/2020|EPI_ISL_1655937|2020-01-25,Wuhan/AP8/2020,Wuhan,EPI_ISL_1655937,2020-01-25,,4
Wuhan/YB012504/2020|EPI_ISL_450489|2020-01-25,Wuhan/YB012504/2020,Wuhan,EPI_ISL_450489,2020-01-25,,4
Wuhan/YB012506/2020|EPI_ISL_450504|2020-01-25,Wuhan/YB012506/2020,Wuhan,EPI_ISL_450504,2020-01-25,,4
Wuhan/0126-C5/2020|EPI_ISL_493167|2020-01-26,Wuhan/0126-C5/2020,Wuhan,EPI_ISL_493167,2020-01-26,,4
Wuhan/0126-C7/2020|EPI_ISL_493168|2020-01-26,Wuhan/0126-C7/2020,Wuhan,EPI_ISL_493168,2020-01-26,,4
Wuhan/0126-C10/2020|EPI_ISL_493169|2020-01-26,Wuhan/0126-C10/2020,Wuhan,EPI_ISL_493169,2020-01-26,,4
Wuhan/0126-C12/2020|EPI_ISL_493170|2020-01-26,Wuhan/0126-C12/2020,Wuhan,EPI_ISL_493170,2020-01-26,,4
Wuhan/0126-C13/2020|EPI_ISL_493171|2020-01-26,Wuhan/0126-C13/2020,Wuhan,EPI_ISL_493171,2020-01-26,,4
Wuhan/0126-C14/2020|EPI_ISL_493172|2020-01-26,Wuhan/0126-C14/2020,Wuhan,EPI_ISL_493172,2020-01-26,,4
Wuhan/0126-C26/2020|EPI_ISL_493173|2020-01-26,Wuhan/0126-C26/2020,Wuhan,EPI_ISL_493173,2020-01-26,,4
Wuhan/0126-C31/2020|EPI_ISL_493174|2020-01-26,Wuhan/0126-C31/2020,Wuhan,EPI_ISL_493174,2020-01-26,,4
Wuhan/0126-C43/2020|EPI_ISL_493175|2020-01-26,Wuhan/0126-C43/2020,Wuhan,EPI_ISL_493175,2020-01-26,,4
Wuhan/0126-C45/2020|EPI_ISL_493176|2020-01-26,Wuhan/0126-C45/2020,Wuhan,EPI_ISL_493176,2020-01-26,,4
Wuhan/0126-C47/2020|EPI_ISL_493177|2020-01-26,Wuhan/0126-C47/2020,Wuhan,EPI_ISL_493177,2020-01-26,,4
Wuhan/0126-C77/2020|EPI_ISL_493178|2020-01-26,Wuhan/0126-C77/2020,Wuhan,EPI_ISL_493178,2020-01-26,,4
Wuhan/0126-C98/2020|EPI_ISL_493181|2020-01-26,Wuhan/0126-C98/2020,Wuhan,EPI_ISL_493181,2020-01-26,,4
Wuhan/0126-C101/2020|EPI_ISL_493183|2020-01-26,Wuhan/0126-C101/2020,Wuhan,EPI_ISL_493183,2020-01-26,,4
Wuhan/0126-C102/2020|EPI_ISL_493184|2020-01-26,Wuhan/0126-C102/2020,Wuhan,EPI_ISL_493184,2020-01-26,,4
Wuhan/0126-C103/2020|EPI_ISL_493185|2020-01-26,Wuhan/0126-C103/2020,Wuhan,EPI_ISL_493185,2020-01-26,,4
Wuhan/0126-C106/2020|EPI_ISL_493186|2020-01-26,Wuhan/0126-C106/2020,Wuhan,EPI_ISL_493186,2020-01-26,,4
Wuhan/0126-C108/2020|EPI_ISL_493187|2020-01-26,Wuhan/0126-C108/2020,Wuhan,EPI_ISL_493187,2020-01-26,,4
Wuhan/0126-C109/2020|EPI_ISL_493188|2020-01-26,Wuhan/0126-C109/2020,Wuhan,EPI_ISL_493188,2020-01-26,,4
Wuhan/0126-C111/2020|EPI_ISL_493189|2020-01-26,Wuhan/0126-C111/2020,Wuhan,EPI_ISL_493189,2020-01-26,,4
Wuhan/0126-C113/2020|EPI_ISL_493190|2020-01-26,Wuhan/0126-C113/2020,Wuhan,EPI_ISL_493190,2020-01-26,,4
Wuhan/YB012602/2020|EPI_ISL_450503|2020-01-26,Wuhan/YB012602/2020,Wuhan,EPI_ISL_450503,2020-01-26,,4
Wuhan/YB012605/2020|EPI_ISL_450502|2020-01-26,Wuhan/YB012605/2020,Wuhan,EPI_ISL_450502,2020-01-26,,4
Wuhan/YB012611/2020|EPI_ISL_450501|2020-01-26,Wuhan/YB012611/2020,Wuhan,EPI_ISL_450501,2020-01-26,,4